id,name,origin,temperament,colors,description,image
1,Persian,Iran,"Sweet, Gentle, Quiet","['White', 'Black', 'Blue', 'Cream']",The Persian cat is a long-haired breed known for its luxurious coat and sweet personality. They are calm and affectionate cats that enjoy a relaxed indoor lifestyle.,https://fakeimg.pl/500x500/cc5500
2,Siamese,Thailand,"Social, Vocal, Intelligent","['Seal Point', 'Blue Point', 'Chocolate Point', 'Lilac Point']",The Siamese cat is a vocal and affectionate breed known for its striking blue almond-shaped eyes. They are highly social and enjoy interactive play with their human companions.,https://fakeimg.pl/500x500/cc5511
3,Maine Coon,United States,"Friendly, Playful, Gentle","['Brown Tabby', 'Black', 'Red', 'Silver Tabby']",The Maine Coon is a large and friendly breed known for its tufted ears and bushy tail. They are affectionate and sociable cats that get along well with children and other pets.,https://fakeimg.pl/500x500/cc5522
4,Bengal,United States,"Active, Energetic, Intelligent","['Brown Spotted', 'Snow Spotted', 'Marble']",The Bengal cat is a medium to large-sized breed known for its wild appearance and energetic nature. They are highly intelligent and require mental and physical stimulation.,https://fakeimg.pl/500x500/cc5533
5,Ragdoll,United States,"Gentle, Affectionate, Laid-back","['Seal', 'Blue', 'Chocolate', 'Lilac']",The Ragdoll cat is a large and affectionate breed known for its relaxed and docile nature. They are named for their tendency to go limp like a ragdoll when picked up.,https://fakeimg.pl/500x500/cc5544
6,Sphynx,Canada,"Curious, Playful, Affectionate","['Pink', 'White', 'Black', 'Blue']",The Sphynx cat is a hairless breed known for its wrinkled skin and large ears. They are social and attention-seeking cats that enjoy being the center of attention.,https://fakeimg.pl/500x500/cc5555
7,Scottish Fold,Scotland,"Sweet, Laid-back, Friendly","['White', 'Blue', 'Cream', 'Silver']",The Scottish Fold cat is a unique breed known for its folded ears and round face. They are gentle and easy-going cats that form strong bonds with their human families.,https://fakeimg.pl/500x500/cc5566
8,Abyssinian,Ethiopia,"Active, Curious, Playful","['Ruddy', 'Red', 'Blue', 'Fawn']",The Abyssinian cat is an active and playful breed known for its ticked coat and expressive eyes. They are intelligent and enjoy interactive play and puzzle toys.,https://fakeimg.pl/500x500/cc5577
9,British Shorthair,United Kingdom,"Easygoing, Affectionate, Independent","['Blue', 'Black', 'White', 'Cream']",The British Shorthair cat is a sturdy and independent breed known for its dense coat and round face. They are adaptable and get along well with other pets.,https://fakeimg.pl/500x500/cc5588
10,Russian Blue,Russia,"Reserved, Gentle, Intelligent","['Blue', 'Silver']",The Russian Blue cat is a reserved and gentle breed known for its plush blue coat and striking green eyes. They are intelligent and form strong bonds with their human families.,https://fakeimg.pl/500x500/cc5599
11,Egyptian Mau,Egypt,"Active, Agile, Playful","['Silver', 'Bronze', 'Smoke', 'Black']","The Egyptian Mau is a medium-sized breed known for its spotted coat and striking green eyes. They are active and enjoy interactive play, often being compared to small leopards.",https://fakeimg.pl/500x500/cc5600
12,Birman,Burma,"Gentle, Affectionate, Sociable","['Seal Point', 'Blue Point', 'Lilac Point', 'Chocolate Point']",The Birman cat is a gentle and affectionate breed known for its striking blue eyes and silky coat. They are social cats that enjoy spending time with their human companions.,https://fakeimg.pl/500x500/cc5611
13,Turkish Van,Turkey,"Playful, Intelligent, Energetic","['White', 'Red', 'Cream', 'Black']",The Turkish Van cat is an energetic and playful breed known for its love of water and swimming. They are intelligent and enjoy interactive toys and puzzles.,https://fakeimg.pl/500x500/cc5622
14,Cornish Rex,United Kingdom,"Active, Curious, Affectionate","['White', 'Black', 'Blue', 'Red']",The Cornish Rex cat is an active and affectionate breed known for its soft and curly coat. They are social cats that enjoy being around people and other pets.,https://fakeimg.pl/500x500/cc5633
15,Chartreux,France,"Quiet, Gentle, Loyal","['Blue', 'Gray']",The Chartreux cat is a quiet and gentle breed known for its dense blue-gray coat and copper eyes. They are loyal cats that form strong bonds with their families.,https://fakeimg.pl/500x500/cc5644
16,American Shorthair,United States,"Adaptable, Easygoing, Playful","['Silver Tabby', 'Brown Tabby', 'Black', 'White']",The American Shorthair cat is an adaptable and easygoing breed known for its sturdy and medium-sized build. They are playful cats that get along well with children and other pets.,https://fakeimg.pl/500x500/cc5655
17,Balinese,United States,"Affectionate, Intelligent, Playful","['Seal Point', 'Blue Point', 'Chocolate Point', 'Lilac Point']",The Balinese cat is an affectionate and intelligent breed known for its long and silky coat. They are playful and enjoy interactive toys and games with their owners.,https://fakeimg.pl/500x500/cc5666
18,Nebelung,United States,"Reserved, Gentle, Loyal","['Blue', 'Gray']",The Nebelung cat is a reserved and gentle breed known for its shimmering blue coat and striking green eyes. They are loyal cats that form strong bonds with their families.,https://fakeimg.pl/500x500/cc5677
19,Singapura,Singapore,"Curious, Affectionate, Playful","['Sepia Ticked', 'Sable Ticked', 'Black Ticked']",The Singapura cat is a small and playful breed known for its ticked coat and large expressive eyes. They are curious cats that enjoy exploring their surroundings.,https://fakeimg.pl/500x500/cc5688
20,Tonkinese,United States,"Affectionate, Social, Playful","['Natural Mink', 'Blue Mink', 'Champagne Mink', 'Platinum Mink']",The Tonkinese cat is an affectionate and social breed known for its silky coat and striking aqua-colored eyes. They are playful and enjoy interactive play with their human companions.,https://fakeimg.pl/500x500/cc5699
21,Siamese,Thailand,"Social, Vocal, Intelligent","['Seal Point', 'Blue Point', 'Chocolate Point', 'Lilac Point']","The Siamese cat is a social and vocal breed known for its striking blue almond-shaped eyes and short coat with color points on the ears, face, paws, and tail.",https://fakeimg.pl/500x500/cc5700
22,Maine Coon,United States,"Gentle, Friendly, Playful","['Brown Tabby', 'Black', 'White', 'Red Tabby']","The Maine Coon is a large and friendly breed known for its tufted ears, bushy tail, and long flowing coat. They are gentle cats that get along well with children and other pets.",https://fakeimg.pl/500x500/cc5701
24,Russian Blue,Russia,"Reserved, Intelligent, Gentle",['Blue'],The Russian Blue cat is a reserved and intelligent breed known for its shimmering blue coat and emerald green eyes. They are loyal cats that form strong bonds with their families.,https://fakeimg.pl/500x500/cc5703
25,Scottish Fold,Scotland,"Sweet, Loving, Curious","['White', 'Black', 'Blue', 'Cream']",The Scottish Fold cat is a sweet and loving breed known for its unique folded ears and round face. They are curious cats that enjoy interactive toys and games.,https://fakeimg.pl/500x500/cc5704
26,Himalayan,United States,"Affectionate, Gentle, Calm","['Seal Point', 'Blue Point', 'Chocolate Point', 'Lilac Point']","The Himalayan cat is an affectionate and gentle breed known for its long fur and color points on the ears, face, paws, and tail. They are calm cats that enjoy a peaceful environment.",https://fakeimg.pl/500x500/cc5705
27,Devon Rex,United Kingdom,"Playful, Social, Mischievous","['White', 'Black', 'Blue', 'Red']",The Devon Rex cat is a playful and social breed known for its short curly coat and large ears. They are mischievous cats that enjoy interactive play and attention.,https://fakeimg.pl/500x500/cc5706
28,Sphynx,Canada,"Affectionate, Playful, Curious","['White', 'Black', 'Blue', 'Pink']",The Sphynx cat is an affectionate and playful breed known for its hairless appearance and wrinkled skin. They enjoy cuddling to stay warm and need regular grooming to remove body oils.,https://fakeimg.pl/500x500/cc5707
29,Manx,Isle of Man,"Loyal, Playful, Intelligent","['Rumpy', 'Riser', 'Stumpy', 'Longy']",The Manx cat is a loyal and playful breed known for its taillessness or short tail. They are intelligent cats that enjoy interactive toys and puzzles.,https://fakeimg.pl/500x500/cc5708
30,Abyssinian,Ethiopia,"Active, Energetic, Playful","['Ruddy', 'Blue', 'Fawn', 'Red']",The Abyssinian cat is an active and energetic breed known for its short ticked coat and almond-shaped eyes. They are playful cats that enjoy climbing and exploring.,https://fakeimg.pl/500x500/cc5709
31,Birman,Burma,"Affectionate, Gentle, Sociable","['Seal', 'Blue', 'Chocolate', 'Lilac']","The Birman cat is an affectionate and gentle breed known for its striking blue eyes and silky coat with color points on the ears, face, paws, and tail. They are sociable cats that enjoy interacting with their human companions.",https://fakeimg.pl/500x500/cc5710
32,Chartreux,France,"Loyal, Quiet, Intelligent",['Blue'],The Chartreux cat is a loyal and quiet breed known for its dense blue-gray coat and copper or gold eyes. They are intelligent cats that can be reserved around strangers.,https://fakeimg.pl/500x500/cc5711
33,Turkish Van,Turkey,"Playful, Energetic, Sociable","['White', 'Red', 'Cream']",The Turkish Van cat is a playful and energetic breed known for its love of water and distinctive color pattern on the head and tail. They are sociable cats that enjoy interactive play and exploring new environments.,https://fakeimg.pl/500x500/cc5712
34,Singapura,Singapore,"Curious, Affectionate, Intelligent",['Sepia Agouti'],The Singapura cat is a curious and affectionate breed known for its small size and sepia agouti coat. They are intelligent cats that enjoy interactive games and puzzles.,https://fakeimg.pl/500x500/cc5713
35,American Shorthair,United States,"Easygoing, Playful, Adaptable","['Tabby', 'Solid', 'Bicolor', 'Calico']",The American Shorthair cat is an easygoing and playful breed known for its versatility in various coat colors and patterns. They are adaptable cats that get along well with families and other pets.,https://fakeimg.pl/500x500/cc5714
36,Norwegian Forest Cat,Norway,"Independent, Intelligent, Agile","['Brown Tabby', 'Blue Tabby', 'Black', 'White']","The Norwegian Forest Cat is an independent and intelligent breed known for its long, thick fur and bushy tail. They are agile cats that enjoy climbing and exploring outdoor spaces.",https://fakeimg.pl/500x500/cc5715
37,Ocicat,United States,"Playful, Affectionate, Energetic","['Spotted', 'Classic Tabby', 'Ticked']",The Ocicat is a playful and affectionate breed known for its wild appearance and spotted coat. They are energetic cats that enjoy interactive play and mental stimulation.,https://fakeimg.pl/500x500/cc5716
38,Cornish Rex,United Kingdom,"Active, Curious, Affectionate","['White', 'Black', 'Blue', 'Red']","The Cornish Rex cat is an active and curious breed known for its soft, wavy coat and large ears. They are affectionate cats that enjoy being the center of attention.",https://fakeimg.pl/500x500/cc5717
39,Balinese,United States,"Affectionate, Playful, Intelligent","['Seal Point', 'Blue Point', 'Chocolate Point', 'Lilac Point']","The Balinese cat is an affectionate and playful breed known for its long fur and color points on the ears, face, paws, and tail. They are intelligent cats that enjoy interactive toys and games.",https://fakeimg.pl/500x500/cc5718
40,Egyptian Mau,Egypt,"Active, Agile, Intelligent","['Silver', 'Bronze']",The Egyptian Mau is an active and agile breed known for its spotted coat and green eyes. They are intelligent cats that enjoy interactive play and hunting games.,https://fakeimg.pl/500x500/cc5719
